plant_id,plant_name,variety,bed,sow_method,sow_date,germ_date,transplant_date,first_flower_date,first_fruit_date,expected_harvest_start,expected_harvest_end,notes
roma-2025-08-19,Tomato,Roma,,indoor seedling,2025-08-19,2025-08-24,,,,,,5/18 germinated by 24 Aug; remove dome ~12/18; strong light + gentle airflow.
capsicum-2025-pending,Capsicum,,,indoor seedling,2025-09-01,,,,,,,Seeds on hand; sow date TBD (wait for consistent soil temps if direct sow).
eggplant-2025-pending,Eggplant,,,indoor seedling,2025-09-01,,,,,,,Seeds on hand; sow date TBD (wait for consistent soil temps if direct sow).
citrus-garden,Citrus,,,,,,,,,,,Lemon/Lime/Mandarin group
blueberry-001,Blueberry,,,,,,,,,,,Young plant; monthly acidic feed
PL-2025-09-07-CH-01,Chilli,(unspecified),12,tray (dome + heat mat),2025-09-07,,,,,,,Seeded 12; vent dome at ~70% germ; begin half-strength feed after true leaves
PL-2025-09-07-PA-01,Passionfruit,(unspecified),12,tray (dome + heat mat),2025-09-07,,,,,,,"Seeded 12; soak helped; add mycorrhizae at pot-up, not in seed mix"
PL-2025-09-08-CO-01,Corn,,0,direct,,,,,,,,Direct sow once soil ≥18–20 °C at 10 cm; keep evenly moist; sow in blocks for pollination
PL-2025-09-08-CU-01,Cucumber,Lebanese,0,direct,,,,,,,,"Direct sow once soil ≥18 °C at 10 cm (now ready); sow in full sun, keep evenly moist"
PL-2025-09-08-BE-01,Beans,,,direct,,,,,,,,Direct sow once soil ≥18 °C at 10 cm; sow in blocks/rows; keep evenly moist
PL-2025-09-08-CU-02,Cucumber,Mexican gherkin,,direct,,,,,,,,"Direct sow once soil ≥18 °C; vining habit, may need trellis"
PL-2025-09-09-ON-01,Onion,,,transplant (seedlings/sets),,,,,,,,Harvest when 50–80% tops fall + necks soften; cure 1–2 weeks airy shade
PL-2025-09-09-GA-01,Garlic,,,cloves,,,,,,,,Harvest when ~⅓–½ leaves yellow/flop; each green leaf = 1 wrapper; test-pull first
corn_20250924,Corn,F1 Breakthrough,3,direct,2025-09-24,,,,,2025-12-15,2026-01-15,"Sown 16 seeds in 4x4 grid, 20cm apart, middle of bed 3"
