item,category,last_checked,qty_on_hand,reorder_date,notes
Eco-oil,Botanical,2025-09-06,half bottle,2025-09-20,Spray citrus flush every 7–10d
Beneficial nematodes,Biological,2025-08-30,none,2026-02-20,Apply Mar & Sep
Corn seed,Seed,2025-08-15,packet OK,2026-08-01,"Already owned, exclude from reminders"
Eco-oil,Botanical,2025-09-10,unknown,2025-09-20,"Citrus flush weekly if needed; calm, dry evenings"
Eco-Neem,Botanical,2025-09-10,unknown,2025-12-01,Quarterly check (Sep/Dec/Mar/Jun); soil drench or leaf spray
Dipel (BT),Biological,2025-09-10,unknown,2025-09-17,Caterpillars; late arvo; weekly if pressure
Beneficial nematodes,Biological,2025-09-10,unknown,2025-09-20,Apply spring & autumn; evening/overcast; soil moist
Kelp/Seaweed extract,Tonic,2025-09-10,unknown,2025-09-24,Fortnightly foliar; strengthens cell walls
Copper hydroxide,Mineral,2025-09-10,unknown,2025-10-01,Wet/humid weeks; rotate with sulphur
Wettable sulphur,Mineral,2025-09-10,unknown,2025-10-01,Powdery mildew; rotate with copper
Rock dust,Mineral,2025-09-10,unknown,2025-12-01,Trace minerals; spring & autumn top-ups
Blood & bone,Fertiliser,2025-09-10,unknown,2025-12-01,Light side-dress; avoid roots (carrots/beets)
Mycorrhizae inoculant,Biological,2025-09-10,unknown,2025-12-01,Use at sowing/transplant only
Sticky traps,Consumable,2025-09-10,unknown,2025-10-22,Refresh every 6–8 weeks
Acidic fertiliser (blueberry),Fertiliser,2025-09-10,unknown,2025-10-01,Monthly Sep–Mar
Iron chelate,Supplement,2025-09-10,unknown,2025-12-01,Use only if new leaves yellow with green veins
Seed-raising mix,Consumable,2025-09-10,unknown,2026-01-10,For summer sowings
Charlie Carp (fish emulsion),Tonic,2025-09-10,unknown,2025-09-24,Fortnightly light feed; great for lettuce
Citrus potash,Fertiliser,2025-09-10,unknown,2025-03-01,Autumn potash for citrus fruiting
Sulphate of potash,Fertiliser,2025-09-10,unknown,2025-12-15,Add when sweet potatoes start bulking
Fruit fly traps/bait,Pest mgmt,2025-09-10,unknown,2025-10-15,Hang ahead of spring activity
Corn seed,Seed,2025-09-10,packet OK,2026-08-01,Already owned; direct sow when soil ≥18 °C
Cucumber seed (Lebanese),Seed,2025-09-10,packet OK,2026-08-01,Already owned; sow now (soil ≥18 °C)
Cucumber seed (Mexican gherkin),Seed,2025-09-10,packet OK,2026-08-01,Already owned; trellis if possible
Bean seed,Seed,2025-09-10,packet OK,2026-08-01,Already owned; direct sow ≥18 °C
Blueberry fertiliser,Fertiliser,2025-09-16,0,2025-09-20,"Ordered, arriving end of week"
Dipel (test),Sprays,2025-09-18,low,2025-09-25,Debug insert
